time_week,device_id,category,chain,visits
2014-11-16,e3UKiIKcZtWM/BLYr9bKEhnj1Oc=,Big Box,Fred Meyer,1
2014-11-16,wLTvDz0Ciyf6TM/cjLgbai8qQHA=,Big Box,Fred Meyer,2
2014-11-16,tdceWwHeQBkJ2a1GtffqgI66WCM=,Big Box,Fred Meyer,2
2014-11-16,CrzXpn6soi2IwHAyHBhSbjW76Lg=,Restaurant,IHOP,1
2014-11-16,jSEGBlNpkw32Fbm42nQGeVoSFnk=,Restaurant,IHOP,1
2014-11-16,q1dbniJYxTKZdUJ7bXZZMOGmzsk=,Restaurant,IHOP,1
2014-11-16,VbUz8vrrgxezh8v/s33B3J+XgUc=,Restaurant,IHOP,1
2014-11-16,kjWlJM9uQdG0nOrCLLElTqZdbx0=,Restaurant,IHOP,15
2014-11-16,E8Kr/iysbrvuoET8Zt+Qh8KvlGc=,Restaurant,IHOP,1
2014-11-16,nybQ/z7O1dPVjZHYYAJUQy/QUCE=,Restaurant,IHOP,1
2014-11-16,u9oshBaierclMBPzAYxY1pjdYCU=,Restaurant,IHOP,3
2014-11-16,aXidAPsMBopaTRkzSwDWsaWf9iA=,Restaurant,IHOP,1
2014-11-16,SCgd1i/O4yKCjJAAtNtp/9vOlKU=,Restaurant,IHOP,1
2014-11-16,cKDF+uU5NrNYzfU0w585qdbInG8=,Restaurant,IHOP,2
2014-11-16,i5rPv1zLfpAhbhFvZKi1ZQ3IJ9A=,Restaurant,IHOP,1
2014-11-16,r+tlW80GTHtjTVQn54jbl/Ab2u8=,Restaurant,IHOP,3
2014-11-16,7o+9uJ7eWQPFGhADrOSO4neMKe4=,Restaurant,IHOP,1
2014-11-16,HxCihIOx4xIUSy5LEdAv8SqQQHw=,Restaurant,IHOP,1
2014-11-16,CXrIXSGjGZL+S3X/XgBGkSJC+xw=,Restaurant,IHOP,2
2014-11-16,w8SlwOe66cuJm0WJM/bAFiB/FAs=,Restaurant,IHOP,2
2014-11-16,AKaheUXYxlqbumY3cU6f3PX5u/E=,Restaurant,IHOP,1
2014-11-16,ZbpmjWiBticVXRjBEnhAp9Qro2c=,Restaurant,IHOP,1
2014-11-16,rDzVWJZMhE0jtDrZ4nkI4KkNRNw=,Restaurant,IHOP,1
2014-11-16,NqCcYB60bo1Sajvj2bSHLMiyY/8=,Restaurant,IHOP,1
2014-11-16,TS5DzkEBUv+fRFDWqXM4eFwP1jg=,Restaurant,IHOP,1
2014-11-16,tuwivvE705mngT7EalqxzwgekmI=,Restaurant,IHOP,1
2014-11-16,zBfSa543HfgrX8Ef+tclIR8UzqM=,Restaurant,IHOP,2
2014-11-16,bJ97d2Q4Z8rL79beunDtT701UVg=,Restaurant,IHOP,1
2014-11-16,db4RkvqlMMfXkXqhsCKgpnoOaTE=,Restaurant,IHOP,1
2014-11-16,gAD7/2rh2PNBah9nFA8+B8UkrM4=,Restaurant,IHOP,2
2014-11-16,YApLQxLiItfYqq66UOyzC+Io/Ws=,Restaurant,IHOP,2
2014-11-16,z4mdJIbjxuruqNsmYp5PjOzDKCk=,Restaurant,IHOP,5
2014-11-16,hVoDlLaM4z2G1b8fOOvihUiYQR0=,Restaurant,IHOP,1
2014-11-16,3NOFF4TJpp7c9whfL9N02gtrkDw=,Restaurant,IHOP,1
2014-11-16,8R/s4PW/+OqlBb+5CWbEtHVhyqA=,Restaurant,IHOP,2
2014-11-16,f1E19jUd2OYy4MgPt2jlAJpZVb4=,Restaurant,IHOP,1
2014-11-16,JWDYP0cRhfExdVQ0+V/bmSHlLJI=,Restaurant,IHOP,1
2014-11-16,7FyF14FmToNkudeK2hc7Cem0Qfc=,Restaurant,IHOP,1
2014-11-16,I4vgD2cwkPfXetlChRAV/VyhJ9Q=,Restaurant,IHOP,1
2014-11-16,r4S0OQYsk0ta6IQLNT8I5C1crto=,Restaurant,IHOP,1
